Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Age_band_of_casualty,Cause_of_accident,Accident_severity
31-50,Other,5-10yr,Other,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,2-5yr, Church areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Changing lane to the left,Slight Injury
18-30,Employee,5-10yr,Residential areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,No priority to vehicle,Slight Injury
18-30,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,Driving carelessly,Slight Injury
31-50,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Moving Backward,Slight Injury
Over 51,Owner,2-5yr,Office areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,5-10yr,Office areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Passenger,31-50,Changing lane to the left,Slight Injury
31-50,Owner,1-2yr,Other,One way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,3,3,Getting off,Pedestrian,31-50,Changing lane to the left,Slight Injury
18-30,Employee,Above 10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,3,Getting off,na,na,No distancing,Slight Injury
18-30,Employee,5-10yr,  Recreational areas,One way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Getting off,Driver or rider,Over 51,Changing lane to the left,Slight Injury
31-50,Employee,2-5yr, Church areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Under 18,Driving carelessly,Slight Injury
18-30,Employee,Above 10yr,Other,One way,Unknown,Asphalt roads,Daylight,Raining,Collision with roadside objects,2,1,Going straight,Pedestrian,Under 18,Changing lane to the left,Slight Injury
Over 51,Employee,2-5yr,Other,Undivided Two way,Unknown,Earth roads,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,18-30,No distancing,Slight Injury
18-30,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Waiting to go,Passenger,18-30,Changing lane to the right,Slight Injury
31-50,Employee,Above 10yr,Residential areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,No distancing,Slight Injury
31-50,Employee,2-5yr,School areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,Driving to the left,Slight Injury
31-50,Employee,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
Unknown,Employee,Above 10yr,Other,other,No junction,Other,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Driver or rider,18-30,Overtaking,Slight Injury
31-50,Employee,Below 1yr,Other,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Driver or rider,31-50,Driving under the influence of drugs,Slight Injury
31-50,Owner,Above 10yr,Office areas,Undivided Two way,O Shape,Gravel roads,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,No priority to pedestrian,Slight Injury
18-30,Other,Above 10yr,Office areas,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Daylight,Normal,Collision with animals,2,1,Overtaking,Driver or rider,18-30,Moving Backward,Slight Injury
18-30,Employee,5-10yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
31-50,,, Hospital areas,Undivided Two way,No junction,Earth roads,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
18-30,Employee,5-10yr,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
31-50,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,2,1,Turnover,Driver or rider,31-50,Driving under the influence of drugs,Slight Injury
31-50,Owner,Below 1yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,1,4,Going straight,Driver or rider,18-30,No priority to vehicle,Slight Injury
31-50,Employee,5-10yr,Other,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with animals,1,4,Going straight,na,na,No priority to vehicle,Slight Injury
31-50,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Earth roads,Daylight,Normal,Collision with animals,1,4,Getting off,Pedestrian,18-30,Changing lane to the left,Slight Injury
31-50,Owner,2-5yr, Hospital areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with animals,1,4,Moving Backward,Pedestrian,31-50,Changing lane to the right,Slight Injury
Over 51,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with animals,1,1,Getting off,Passenger,5,Changing lane to the right,Serious Injury
Over 51,Owner,2-5yr,Other,One way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,1,1,Overtaking,Driver or rider,18-30,Changing lane to the left,Slight Injury
31-50,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Other,2,1,Going straight,na,na,Changing lane to the left,Slight Injury
Under 18,Employee,2-5yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Driver or rider,31-50,Getting off the vehicle improperly,Slight Injury
31-50,Employee,1-2yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,Driver or rider,5,Overtaking,Serious Injury
31-50,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,2,1,Reversing,Passenger,5,Changing lane to the left,Serious Injury
Over 51,Employee,1-2yr,Residential areas,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with animals,1,2,Getting off,na,na,Driving under the influence of drugs,Slight Injury
Over 51,Employee,5-10yr,Other,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,1,2,Going straight,Driver or rider,18-30,Driving carelessly,Slight Injury
Over 51,Employee,5-10yr,Residential areas,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,Moving Backward,Slight Injury
Over 51,Owner,2-5yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Earth roads,Darkness - lights lit,Normal,Fall from vehicles,2,3,Going straight,Driver or rider,Under 18,No distancing,Slight Injury
31-50,Employee,Below 1yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,3,Reversing,na,na,No priority to vehicle,Slight Injury
18-30,,,Office areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Driver or rider,18-30,Overturning,Serious Injury
18-30,Employee,Above 10yr,  Recreational areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Rollover,2,1,Stopping,na,na,Changing lane to the left,Serious Injury
31-50,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with animals,2,1,Overtaking,Driver or rider,Under 18,No distancing,Fatal injury
31-50,Owner,5-10yr,Other,other,No junction,Earth roads,Daylight,Normal,Collision with animals,2,1,Going straight,Pedestrian,18-30,Moving Backward,Fatal injury
18-30,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Fall from vehicles,2,1,Reversing,Driver or rider,Under 18,No priority to vehicle,Slight Injury
18-30,Employee,Above 10yr,Other,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Driver or rider,31-50,No priority to vehicle,Slight Injury
Over 51,Employee,Below 1yr,Other,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,No distancing,Slight Injury
Over 51,Employee,2-5yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with animals,2,1,Reversing,Driver or rider,Over 51,No distancing,Slight Injury
18-30,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,3,1,Going straight,na,na,Overtaking,Slight Injury
18-30,Employee,5-10yr,Office areas,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Waiting to go,Driver or rider,18-30,Driving under the influence of drugs,Slight Injury
31-50,Owner,1-2yr,Residential areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,5-10yr,  Recreational areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
Over 51,Other,, Church areas,Double carriageway (median),No junction,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Over 51,Driving carelessly,Slight Injury
18-30,Employee,2-5yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Pedestrian,31-50,Moving Backward,Slight Injury
31-50,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Getting off,Pedestrian,Under 18,Moving Backward,Slight Injury
18-30,Employee,5-10yr,Residential areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Changing lane to the right,Slight Injury
18-30,Employee,2-5yr,School areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to vehicle,Slight Injury
18-30,Employee,No Licence,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,31-50,Driving at high speed,Slight Injury
Over 51,Employee,Above 10yr,Other,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,Driving under the influence of drugs,Slight Injury
31-50,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,Changing lane to the right,Slight Injury
Under 18,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),No junction,Earth roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,18-30,Driving carelessly,Serious Injury
Under 18,Employee,2-5yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Collision with pedestrians,1,4,Going straight,na,na,No distancing,Serious Injury
Under 18,Owner,2-5yr,Other,Undivided Two way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,18-30,Changing lane to the left,Serious Injury
Under 18,Employee,Below 1yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Collision with roadside objects,1,4,Going straight,Driver or rider,31-50,No distancing,Serious Injury
Over 51,Owner,Above 10yr, Industrial areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Getting off,na,na,No distancing,Slight Injury
31-50,Employee,Above 10yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Rollover,3,1,Going straight,na,na,Getting off the vehicle improperly,Slight Injury
31-50,Employee,2-5yr,Other,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,18-30,Overtaking,Slight Injury
18-30,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Driving carelessly,Slight Injury
31-50,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving under the influence of drugs,Slight Injury
31-50,Employee,5-10yr, Church areas,,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,31-50,Moving Backward,Slight Injury
18-30,Employee,Below 1yr,Office areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Under 18,Overturning,Slight Injury
Unknown,Employee,Below 1yr,Residential areas,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,na,na,Driving under the influence of drugs,Slight Injury
18-30,Employee,Below 1yr,  Recreational areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,5-10yr,Other,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
18-30,Owner,5-10yr, Church areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,na,na,No distancing,Slight Injury
31-50,Owner,5-10yr,Other,One way,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Reversing,Driver or rider,31-50,No distancing,Slight Injury
18-30,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),No junction,Earth roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,31-50,No priority to vehicle,Slight Injury
18-30,Employee,2-5yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,Moving Backward,Slight Injury
31-50,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Moving Backward,Slight Injury
18-30,Employee,2-5yr,Office areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Under 18,Getting off the vehicle improperly,Slight Injury
18-30,Employee,Below 1yr, Church areas,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Passenger,31-50,Changing lane to the left,Serious Injury
Under 18,Employee,2-5yr,Other,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Over 51,Changing lane to the left,Slight Injury
Over 51,Employee,2-5yr,Other,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,No priority to vehicle,Slight Injury
31-50,Employee,2-5yr, Church areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,5-10yr, Industrial areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Turnover,Driver or rider,18-30,Changing lane to the right,Slight Injury
18-30,Employee,5-10yr,Office areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,Driver or rider,5,Driving carelessly,Slight Injury
18-30,Employee,,School areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
31-50,Owner,5-10yr,Other,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,31-50,Changing lane to the right,Slight Injury
Under 18,Employee,2-5yr, Church areas,One way,Y Shape,Gravel roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Under 18,Driving under the influence of drugs,Slight Injury
18-30,Employee,Below 1yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,Driver or rider,31-50,Driving carelessly,Slight Injury
31-50,Employee,1-2yr,Other,other,No junction,Asphalt roads,Darkness - no lighting,Normal,Collision with roadside objects,1,1,Getting off,na,na,No distancing,Serious Injury
18-30,Employee,Below 1yr,Other,other,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Driver or rider,18-30,No priority to vehicle,Slight Injury
31-50,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,No priority to vehicle,Slight Injury
31-50,Employee,Below 1yr,Other,One way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Rollover,2,1,Turnover,Pedestrian,Over 51,No priority to vehicle,Serious Injury
31-50,Employee,2-5yr, Church areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Changing lane to the left,Serious Injury
Under 18,Employee,1-2yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,,na,na,Moving Backward,Serious Injury
Under 18,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Over 51,Driving carelessly,Serious Injury
18-30,Owner,Below 1yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Going straight,na,na,Driving under the influence of drugs,Slight Injury
18-30,Employee,Below 1yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Going straight,Pedestrian,31-50,Changing lane to the right,Slight Injury
18-30,Employee,Below 1yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,31-50,No priority to vehicle,Slight Injury
18-30,Employee,1-2yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Turnover,na,na,Changing lane to the right,Slight Injury
18-30,Owner,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,Driving to the left,Slight Injury
Under 18,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,1,1,Going straight,Driver or rider,31-50,Moving Backward,Slight Injury
18-30,Owner,Below 1yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,18-30,No priority to vehicle,Slight Injury
31-50,Employee,5-10yr,School areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,18-30,No distancing,Slight Injury
31-50,Employee,5-10yr, Church areas,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Driving carelessly,Slight Injury
18-30,Employee,5-10yr,School areas,Undivided Two way,No junction,Other,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,1,Overtaking,Driver or rider,18-30,Changing lane to the left,Slight Injury
18-30,Employee,2-5yr,Residential areas,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Raining and Windy,Collision with pedestrians,2,1,Reversing,Driver or rider,31-50,No priority to vehicle,Slight Injury
Unknown,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,na,na,No priority to vehicle,Slight Injury
31-50,Employee,5-10yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,Over 51,No distancing,Slight Injury
31-50,Employee,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Getting off,na,na,Driving to the left,Slight Injury
Under 18,Employee,2-5yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Over 51,Driving carelessly,Slight Injury
Under 18,Employee,Below 1yr,Office areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,31-50,Driving carelessly,Slight Injury
Under 18,Employee,Below 1yr,Residential areas,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,18-30,Changing lane to the right,Slight Injury
31-50,Owner,5-10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Other,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Passenger,18-30,Driving carelessly,Slight Injury
Over 51,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,18-30,Changing lane to the left,Slight Injury
31-50,Employee,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,Driving carelessly,Slight Injury
31-50,Employee,2-5yr, Industrial areas,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Over 51,Driving carelessly,Slight Injury
18-30,Employee,5-10yr,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,Driving under the influence of drugs,Slight Injury
18-30,Employee,Above 10yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,31-50,Driving carelessly,Slight Injury
Over 51,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
18-30,Employee,5-10yr,Other,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury
31-50,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Driving to the left,Slight Injury
31-50,Employee,5-10yr,Other,Double carriageway (median),Y Shape,,Darkness - lights lit,Normal,Rollover,2,1,Getting off,Driver or rider,Under 18,Overtaking,Slight Injury
Over 51,Employee,5-10yr,Office areas,Undivided Two way,Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,No distancing,Slight Injury
Over 51,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Driving carelessly,Slight Injury
18-30,Owner,5-10yr,,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,18-30,No priority to vehicle,Slight Injury
31-50,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Passenger,18-30,No priority to vehicle,Slight Injury
Over 51,Owner,Below 1yr,Other,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,No priority to vehicle,Slight Injury
18-30,Owner,5-10yr,Office areas,Undivided Two way,Crossing,Asphalt roads with some distress,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,31-50,No priority to vehicle,Slight Injury
18-30,Employee,Above 10yr,Office areas,One way,Crossing,,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
18-30,Employee,Below 1yr, Church areas,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Under 18,Moving Backward,Slight Injury
31-50,Employee,1-2yr,Office areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Under 18,No distancing,Slight Injury
31-50,Employee,Above 10yr,Office areas,other,No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,1,1,Going straight,Passenger,31-50,Changing lane to the left,Slight Injury
31-50,Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,31-50,Changing lane to the left,Slight Injury
31-50,Employee,Above 10yr,Office areas,One way,No junction,Earth roads,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,18-30,No priority to pedestrian,Slight Injury
31-50,Employee,No Licence,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,2,3,Turnover,Driver or rider,Under 18,Moving Backward,Slight Injury
18-30,Employee,1-2yr,Residential areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the left,Slight Injury
18-30,Owner,1-2yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,No distancing,Slight Injury
18-30,Owner,Below 1yr,Office areas,Double carriageway (median),Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,No priority to vehicle,Slight Injury
18-30,Owner,1-2yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
31-50,Owner,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,No distancing,Serious Injury
